ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3489182,37443,46,6181,1008,0.0,3.99,6149,0,30005,30005,0,2966,1608692,4.34,4.11,5.0
3489200,59920,23,5986,746,0.0,4.07,6170,0,30004,30004,0,2903,1654892,4.33,4.31,5.0
3489213,50870,57,6462,1066,0.0,3.98,6611,0,30003,30003,0,2966,1619240,4.34,4.07,5.0
3489241,67777,58,6216,1026,0.0,3.98,6479,0,30011,30011,0,2903,1580205,4.33,4.1,5.0
3489269,79261,22,6370,664,0.0,4.09,6404,0,30004,30004,0,2903,1568749,4.33,4.37,5.0
3489272,45214,45,6144,906,0.0,4.02,6132,0,30007,30007,0,2966,1572000,4.34,4.19,5.0
3489305,47955,53,5924,1151,0.0,3.95,6130,0,30002,30002,0,2934,1566592,4.33,4.01,5.0
3489312,40599,59,6237,1133,0.0,3.96,6380,0,30003,30003,0,2966,1647048,4.34,4.02,5.0
3489324,65859,53,6109,980,0.0,4.0,6128,0,30003,30003,0,2966,1630800,4.34,4.13,5.0
3489339,48242,48,5028,1004,0.0,3.99,5389,0,30003,30003,0,2903,1540592,4.33,4.12,5.0
3489342,30321,47,6088,1048,0.0,3.98,6065,0,30003,30003,0,2966,1593000,4.34,4.08,5.0
3489346,52114,54,6139,1039,0.0,3.98,6398,0,30004,30004,0,2934,1611452,4.33,4.09,5.0
3489347,54901,26,5899,687,0.0,4.09,6093,0,30004,30004,0,2903,1563892,4.33,4.35,5.0
3489382,48087,57,5815,1072,0.0,3.97,5849,0,30004,30004,0,2934,1540592,4.33,4.07,5.0
3489395,70227,60,8615,1066,0.0,3.97,8997,0,30007,30007,0,2903,1668045,4.33,4.07,5.0
3489416,52955,34,6128,801,0.0,4.05,6297,0,30005,30005,0,2903,1533092,4.33,4.26,5.0
3489418,29203,43,5836,983,0.0,4.0,6083,0,30004,30004,0,2934,1541492,4.33,4.13,5.0
3489460,32593,22,5925,963,0.0,4.01,6084,0,30002,30002,0,2966,1622692,4.34,4.14,5.0
3489457,65046,45,5505,873,0.0,4.03,6044,0,30025,30025,0,2903,1570892,4.33,4.21,5.0
3489468,26792,44,5822,1223,0.0,3.93,6028,0,30002,30002,0,2934,1544292,4.33,3.96,5.0
3489486,39760,47,6729,980,0.0,4.0,6755,0,30003,30003,0,2903,1533613,4.33,4.13,5.0
3489489,36904,29,5349,770,0.0,4.06,5586,0,30020,30020,0,2934,1561392,4.33,4.29,5.0
3489497,54626,25,6085,690,0.0,4.08,6110,0,30006,30006,0,2903,1528892,4.33,4.35,5.0
3489511,37459,30,5478,854,0.0,4.04,5666,0,30008,30008,0,2903,1550992,4.33,4.22,5.0
3489545,23619,42,6117,1148,0.0,3.95,6116,0,30003,30003,0,2934,1561132,4.33,4.01,5.0
3489555,56846,71,5980,1318,0.0,3.9,6113,0,30002,30002,0,2966,1615992,4.34,3.9,5.0
3489562,82133,24,6524,586,0.0,4.12,6549,0,30004,30004,0,2903,1612892,4.33,4.43,5.0
